id,title,identifier,publisher,language,format,description,date_issued,date_modified,date_valid,audience,coverage,subject,type,license,regulatory_topics,status,date_uploaded_to_orp,has_format,is_format_of,has_version,is_version_of,references,is_referenced_by,has_part,is_part_of,is_replaced_by,replaces,related_legislation
Nt6Ft0Dt,Introduction to asbestos safety,https://www.hse.gov.uk/asbestos/introduction/index.htm,Health and Safety Executive,eng,HTML,"The guidance summarises what you should do to comply with the law, including:

actions to take depending on your job role
identifying if asbestos is present and its condition
assessing the risks and putting the right controls in place
providing the right training, instruction and information to anyone who might disturb asbestos
understanding when a licensed contractor must do the work",12/09/2019,01/03/2021,01/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39013",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Asbestos
Risk Assessment
Lung Conditions
Safety on Site",Active,,,,,,"https://www.hse.gov.uk/asbestos/workers.htm
https://www.hse.gov.uk/asbestos/duty/index.htm
https://www.gov.uk/government/publications/asbestos-properties-incident-management-and-toxicology/asbestos-general-information
https://www.hse.gov.uk/pubns/books/l143.htm
https://www.hse.gov.uk/pubns/books/hsg227.htm
https://www.hse.gov.uk/asbestos/licensing/non-licensed-work.htm
https://www.hse.gov.uk/asbestos/licensing/licensed-contractor.htm",,,,,,"https://www.legislation.gov.uk/uksi/2012/632
https://www.legislation.gov.uk/uksi/2002/2677/regulation/7
https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/uksi/2015/51
https://www.legislation.gov.uk/uksi/2013/1471"
Sb7Oe0Yo,The Control of Substances Hazardous to Health Regulations 2002. Approved Code of Practice and guidance,https://www.hse.gov.uk/pubns/books/l5.htm,Health and Safety Executive,eng,HTML,The sixth edition of this Approved Code of Practice and guidance provides practical advice to help dutyholders comply with the requirements of the COSHH Regulations.,13/09/2019,12/04/2023,12/04/2023,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39013",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"COSHH
Code of Practice
Substances Hazardous to Health
",Active,,,,,,"www.hse.gov.uk/pubns/books/L24.htm
https://www.hse.gov.uk/pubns/books/hsg53.htm
https://www.hse.gov.uk/pubns/books/hsg258.htm
https://www.hse.gov.uk/pubns/books/l8.htm
https://www.hse.gov.uk/pubns/books/eh40.htm",,,,,,"https://www.legislation.gov.uk/uksi/2002/2677/regulation/7
https://www.legislation.gov.uk/ukpga/1974/37"
Ou7Ai8Hu,Legionnaires' disease. The control of legionella bacteria in water systems,https://www.hse.gov.uk/pubns/books/l8.htm,Health and Safety Executive,eng,HTML,"This book is aimed at dutyholders, including employers, those in control of premises and those with health and safety responsibilities for others, to help them comply with their legal duties in relation to legionella. These include identifying and assessing sources of risk, preparing a scheme to prevent or control risk, implementing, managing and monitoring precautions, keeping records of precautions and appointing a manager to be responsible for others.",14/09/2019,12/04/2023,12/04/2023,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39014",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Legionnaires' disease
Bacteria
Prevention
Water Systems",Active,,,,,,"www.hse.gov.uk/pubns/books/l5.htm
www.hse.gov.uk/pubns/indg232.htm
www.hse.gov.uk/pubns/indg453.htm
www.hse.gov.uk/pubns/indg458.htm",,,,,,"https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/uksi/1999/3242
https://www.legislation.gov.uk/uksi/1999/1148"
Yw4Ec7Ru,Provision and Use of Work Equipment Regulations 1998. Approved Code of Practice and guidance,https://www.hse.gov.uk/pubns/books/l22.htm,Health and Safety Executive,eng,HTML,"This Approved Code of Practice and guidance is aimed at employers, dutyholders and anyone who has responsibility for the safe use of work equipment, such as managers and supervisors. It sets out what is needed to comply with the Provision and Use of Work Equipment Regulations 1998. The Regulations, commonly known as PUWER, place duties on people and companies who own, operate or have control over work equipment. PUWER also places responsibilities on businesses and organisations whose employees use work equipment, whether owned by them or not.",15/09/2019,03/03/2021,03/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39015",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Safe use of equipment
Safety at work",Active,,,,,,"www.hse.gov.uk/pubns/books/l113.htm
www.hse.gov.uk/pubns/books/l24.htm
www.hse.gov.uk/pubns/books/l26.htm
www.hse.gov.uk/pubns/books/l25.htm
www.hse.gov.uk/pubns/books/l144.htm
www.hse.gov.uk/pubns/indg401.htm
www.hse.gov.uk/pubns/books/l112.htm
www.hse.gov.uk/pubns/books/l114.htm
www.hse.gov.uk/pubns/indg258.htm
www.hse.gov.uk/pubns/books/l5.htm
www.hse.gov.uk/pubns/indg453.htm
www.hse.gov.uk/pubns/books/l122.htm
www.hse.gov.uk/pubns/books/l132.htm
www.hse.gov.uk/pubns/books/l143.htm
www.hse.gov.uk/pubns/hsr25.htm",,,,,,"https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/uksi/1986/1078
https://www.legislation.gov.uk/uksi/1999/3242"
Ir2Gj4Up,Manual handling - Manual Handling Operations Regulations 1992 - Guidance on Regulations,https://www.hse.gov.uk/pubns/books/l23.htm,Health and Safety Executive,eng,HTML,"Employers must comply with the Manual Handling Operations Regulations 1992, as amended by the Health and Safety (Miscellaneous Amendments) Regulations 2002.
The guidance explains how to avoid, assess and reduce the risk of injury from manual handling.",16/09/2019,04/03/2021,04/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39016",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Manual handling
Heavy goods at work",Active,,,,,,"www.hse.gov.uk/pubns/books/hsg65.htm
www.hse.gov.uk/pubns/indg275.htm
www.hse.gov.uk/pubns/indg232.htm
www.hse.gov.uk/pubns/indg171.htm
www.hse.gov.uk/pubns/books/hsg60.htm
www.hse.gov.uk/pubns/books/l5.htm
www.hse.gov.uk/pubns/books/l24.htm
www.hse.gov.uk/equality-duty/equality-act-2010.htm
www.hse.gov.uk/pubns/books/l25.htm
www.hse.gov.uk/pubns/books/l113.htm
www.hse.gov.uk/pubns/books/l22.htm",,,,,,"https://www.legislation.gov.uk/uksi/2002/2174
https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/uksi/1999/3242
https://www.legislation.gov.uk/uksi/1992/2793"
Zc9Fc3Mq,Personal protective equipment at work: The Personal Protective Equipment at Work Regulations 1992 (as amended): Guidance on Regulations,https://www.hse.gov.uk/pubns/books/l25.htm,Health and Safety Executive,eng,HTML,This guidance explains how you can comply with the Personal Protective Equipment at Work Regulations 1992 (PPER 1992) as amended by the Personal Protective Equipment at Work (Amendment) Regulations 2022 (PPER 2022).,17/09/2019,04/03/2024,04/03/2024,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39017",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"PPE
Personal Protective Equipment",Active,,,,,,"https://www.gov.uk/government/publications/personal-protective-equipment-enforcement-regulations-2018
https://www.hse.gov.uk/pubns/indg232.htm
https://www.hse.gov.uk/pubns/books/l5.htm
https://www.hse.gov.uk/pubns/books/l108.htm
https://www.hse.gov.uk/pubns/books/hsg53.htm
https://www.gov.uk/government/publications/safety-at-street-works-and-road-works
https://www.hse.gov.uk/pubns/books/l113.htm
",,,,,,"https://www.legislation.gov.uk/uksi/2022/8
https://www.legislation.gov.uk/uksi/2018/390
https://www.legislation.gov.uk/uksi/2019/696
https://www.legislation.gov.uk/ukpga/1974/37
https://www.legislation.gov.uk/uksi/2012/632"
Cf6Ao5Yu,Gas Safety (Installation and Use) Regulations 1998 (GSIUR) as amended. Approved Code of Practice and guidance,https://www.hse.gov.uk/pubns/books/l56.htm,Health and Safety Executive,eng,HTML,"This Approved Code of Practice and guidance gives advice on how to meet the requirements of GSIUR and the amending regulations.

This guidance is for anyone who may have a duty under the Gas Safety (Installation and Use) Regulations 1998, including those who install, service, maintain or repair gas appliances and other gas fittings. Landlords also have duties under these regulations.",18/09/2019,04/03/2021,05/03/2021,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39018",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Gas Safety
Gas Installation
Maintenance
Repair",Active,,,,,,www.hse.gov.uk/pubns/books/l22.htm,,,,,,https://www.legislation.gov.uk/uksi/2018/139
Ow5Fr0Lv,First aid at work: Guidance on regulations,https://www.hse.gov.uk/pubns/books/l74.htm,Health and Safety Executive,eng,HTML,This guidance is for employers. It sets out what you need to do to address first-aid provision in the workplace.,19/09/2019,06/02/2024,06/02/2024,Employers,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39019",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"First aid
Workplace first responder",Active,,,,,,"www.hse.gov.uk/pubns/indg453.htm
www.hse.gov.uk/pubns/books/l64.htm
https://books.hse.gov.uk/PUWER",,,,,,
Tb1Fu7Tu,A guide to the well aspects of the Offshore Installations and Wells (Design and Construction etc) Regulations 1996. Guidance on Regulations,https://www.hse.gov.uk/pubns/books/l84.htm,Health and Safety Executive,eng,HTML,This guidance reflects the six headline regulatory concerns: ensuring well risks are as low as reasonably practicable; correct assessment of subterranean conditions; proper consideration of suspension and abandonment issues; appropriate well examination schemes; provision of regular reports to the Health and Safety Executive; and promotion of competence in those undertaking well operations.,20/09/2019,19/09/2023,19/09/2023,Offshore Construction Companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39013",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Offshore installations
Oil rigs
Offshore construction",Active,,,,,,"https://www.hse.gov.uk/pubns/books/l30.htm
https://www.hse.gov.uk/pubns/books/l65.htm
https://www.hse.gov.uk/pubns/books/l22.htm
https://www.hse.gov.uk/pubns/books/l70.htm",,,,,,"https://www.legislation.gov.uk/uksi/1996/913
https://www.legislation.gov.uk/uksi/2005/3117
https://www.legislation.gov.uk/ukpga/1974/37"
Do9Fi9Fb,"Confined Spaces Regulations 1997. Approved Code of Practice, Regulations and guidance",https://www.hse.gov.uk/pubns/books/l101.htm,Health and Safety Executive,eng,HTML,"This Approved Code of Practice (ACOP) and guidance is for those involved in work within confined spaces, those who employ or train such people and those that represent them.

It explains the definition of a confined space in the Regulations and gives examples. It will help you assess the risk of working within a particular confined space and put precautions in place for work to be carried out safely.",21/09/2019,15/11/2023,15/11/2023,Construction companies,GB,"36000
41201
41202
42110
42120
42130
42210
42220
42910
42990
43290
43999
39000
38123
38110
38120
38210
38220
39018",Guidance,https://www.hse.gov.uk/help/copyright.pdf,"Confined spaces
Safety at work
Training
Risk Prevention",Active,,,,,,"www.hse.gov.uk/pubns/books/l22.htm
www.hse.gov.uk/pubns/books/l113.htm
www.hse.gov.uk/pubns/books/l25.htm
www.hse.gov.uk/pubns/books/hsg53.htm
www.hse.gov.uk/pubns/books/hsr25.htm
www.hse.gov.uk/pubns/books/l5.htm
www.hse.gov.uk/pubns/books/l108.htm
www.hse.gov.uk/pubns/books/l143.htm
www.hse.gov.uk/pubns/books/l144.htm",,,,,,
